id,kode,nama,level_id,is_summary
1,1.,URUSAN WAJIB,1,1
2,1.01.,Pendidikan,2,1
3,1.01.01.,DINAS PENDIDIKAN,3,1
4,1.01.01.01.,Sekretariat,4,0
5,1.01.01.02.,Bidang Pendidikan Dasar,4,0
6,1.01.01.03.,Bidang Pendidikan Menengah dan Tinggi,4,0
7,1.01.01.04.,Bidang Pendidikan Luar Biasa,4,0
8,1.01.01.05.,Bidang Sarana dan Prasarana,4,0
9,1.01.01.06.,Balai Pelatihan Pendidik dan Tenaga Kependidikan Pendidik Umum,4,0
10,1.01.01.07.,Balai Pelatihan Pendidik dan Tenaga Kependidikan Pendidikan Kejuruan,4,0
11,1.01.01.08.,Balai Pelatihan Pendidik dan Tenaga Kependidikan Pendidikan Luar Biasa,4,0
12,1.01.01.09.,Balai Pengembangan Bahasa Daerah dan Kesenian,4,0
13,1.02.,Kesehatan,2,1
14,1.02.01.,DINAS KESEHATAN,3,1
15,1.02.01.01.,Sekretariat,4,0
16,1.02.01.02.,Bidang Regulasi dan Kebijakan Kesehatan,4,0
17,1.02.01.03.,Bidang Bina Pelayanan Kesehatan,4,0
18,1.02.01.04.,Bidang Bina Penyehatan Lingkungan dan Pencegahan Penyakit,4,0
19,1.02.01.05.,Bidang Sumber Daya Kesehatan,4,0
20,1.02.01.06.,Balai Laboratorium Kesehatan,4,0
21,1.02.01.07.,Balai Pelatihan Tenaga Kesehatan Masyarakat,4,0
22,1.02.01.08.,Balai Kesehatan Kerja Masyarakat,4,0
23,1.02.01.09.,Balai Kesehatan Paru Masyarakat,4,0
24,1.02.02.,RUMAH SAKIT JIWA,3,1
25,1.02.02.01.,Bagian Sumber Daya Manusia dan Perencanaan,4,0
26,1.02.02.02.,Bagian Keuangan dan Akuntansi,4,0
27,1.02.02.03.,Bagian Umum,4,0
28,1.02.02.04.,Bidang Pelayanan Medik,4,0
29,1.02.02.05.,Bidang Pelayanan Perawatan,4,0
30,1.02.02.06.,Bidang Pelayanan Penunjang,4,0
31,1.02.03.,RUMAH SAKIT PARU,3,1
32,1.02.03.01.,Subbagian Tata Usaha,4,0
33,1.02.03.02.,Seksi Pelayanan Medis,4,0
34,1.02.03.03.,Seksi Pelayanan Perawatan,4,0
35,1.02.03.04.,Seksi Penunjang Medik,4,0
36,1.02.04.,RUMAH SAKIT UMUM DAERAH AL-IHSAN,3,1
37,1.02.04.01.,Bagian Umum dan Hukum,4,0
38,1.02.04.02.,Bagian Sumber Daya Manusia,4,0
39,1.02.04.03.,Bagian keuangan dan Akuntansi,4,0
